data_id,keep,tear_gas_context,notes
8261552,1,ground in the scuffle and and pepper spray was utilized,"On 19 December 2020, people including members of New York Watchmen, Proud Boys and New York III% Security Force gathered in Niagara Square in Buffalo (New York) to demonstrate against mask mandates, coronavirus restrictions, and in support of Donald Trump. A counterdemonstration, including members of Antifa, was present and called attention to the current tally of coronavirus deaths. A video emerged showing Erie County Comptroller Stefan Mychajliw getting out of his car to join the anti-restriction group, with counterdemonstrators swearing at him and demanding he join their protest instead. As the counterdemonstrators were accosting the comptroller, the two groups of demonstrators engaged in physical scuffle. Several people were thrown to the ground in the scuffle and tear gas and pepper spray was utilized. Buffalo Police stated that they did not use any chemical irritants. There were no arrests. One person was injured in the incident. [size=no report] [counter-demonstration]"
8478009,1,police vehicles Police responded with After police left demonstrators set,"On 8 December 2020, 150-200 people, some armed, gathered at the 'red house,' a private residence previously owned by a Black and Indigenous family before their forced eviction in September, in Portland-North (Oregon) against gentrification and the eviction of the Black and Indigenous family. In the early morning, police tried to evict residents of the sit-in camp established at the site, but additional demonstrators arrived and thwarted police. Police arrested between 12 and 17 people and found firearms on the property. Demonstrators then threw rocks at police, sprayed a fire extinguisher at them and damaged police vehicles. Police responded with tear gas. After police left, demonstrators set up barricades to block the surrounding streets and around 100 demonstrators occupied the area setting up camps. Demonstrators also assaulted two members of the press, but there were no reports of serious injuries. [size=150-200]"
8479199,1,munitions pepper ball guns and Federal agents also made at,"On 6 December 2020, about 20-25 protesters gathered at a detention facility in Portland-South (Oregon) to show support for abolishing U.S. Immigration and Customs Enforcement (ICE). Federal agents intervened with less-lethal munitions, pepper ball guns and tear gas. Federal agents also made at least 7 arrests. [size=about 20-25]"
7612464,1,set a fire Police fired in response and four demonstrators,"On 30 November 2020, about 70 people dressed in black marched in Seattle (Washington) in support of the Black Lives Matter movement, against police brutality, and to mark two anniversaries: riots during a global meeting of the World Trade Organization in 1999 and the six-month anniversary of the death of George Floyd in Minneapolis. Demonstrators smashed some windows of nearby businesses, threw rocks and bottles at police, and set a fire. Police fired tear gas in response, and four demonstrators were arrested. [size=about 70]"
7737488,1,formed a skirmish line deployed and allegedly hit demonstrators resulting,"On 25 November 2020, over 100 community members and demonstrators organized by ''Reclaim Our Homes'' rallied and blocked streets through the El Sereno neighborhood in East Los Angeles (California) against the eviction of people living in vacant, Caltrans-owned homes in the area. While evicting the people from houses police formed a skirmish line, deployed tear gas, and allegedly hit demonstrators, resulting in dozens of injuries. Over 20 demonstrators were arrested. [size=over 100]"
7611261,1,a baton Police also deployed to control the crowd size,"On 20 November 2020, dozens of demonstrators gathered near the Omaha police headquarters in Omaha (Nebraska) to condemn the November 19 shooting of Kenneth Jones by police and to call for transparency in the subsequent investigation. The demonstration was declared unlawful after demonstrators threw eggs at police, blocked roadways, and vandalized property. Two demonstrators were arrested, one for assaulting an officer and another for destruction of property and disorderly conduct. Three other people were cited, two for disorderly conduct and another for obstructing a peace officer. Two demonstrators were taken to the hospital after being maced and struck with a baton. Police also deployed tear gas to control the crowd. [size=dozens]"
8262439,1,police dispersed the crowd with making several arrests They shouted,"On 4 November 2020, hundreds of demonstrators, some from the Communist Party, marched through Denver (Colorado) to ''stop a fascist coup'' during the 2020 presidential elections. Some demonstrators set off fireworks, spay-painted signs, set dumpsters on fire, and threw rocks to smash windows. SWAT police dispersed the crowd with tear gas, making several arrests. They shouted slogans against both election candidates. [size=hundreds]"
7610137,0,will be allowed to use in Portland The use of,"Security measures: On 2 November 2020, Oregon Governor Kate Brown announced an executive order that will appoint the Multnomah County Sheriff's Office and Oregon State Police to a joint command of public safety for election-related protests in Portland (Oregon) until Wednesday at 5 pm. The executive order was extended twice on 4 and 6 November and would expire on 8 pm on 8 November. The announcement also mentioned that officers and deputies will be allowed to use tear gas in Portland. The use of tear gas in the Portland was banned by the city mayor on September 10, 2020. Governor Brown also mentioned the National Guard will be on call."
7610137,0,in Portland The use of in the Portland was banned,"Security measures: On 2 November 2020, Oregon Governor Kate Brown announced an executive order that will appoint the Multnomah County Sheriff's Office and Oregon State Police to a joint command of public safety for election-related protests in Portland (Oregon) until Wednesday at 5 pm. The executive order was extended twice on 4 and 6 November and would expire on 8 pm on 8 November. The announcement also mentioned that officers and deputies will be allowed to use tear gas in Portland. The use of tear gas in the Portland was banned by the city mayor on September 10, 2020. Governor Brown also mentioned the National Guard will be on call."
7609854,1,projectiles at police Police fired No arrests were made size,"On 31 October 2020, an estimated 100 to 150 people gathered for a demonstration against capitalism and police violence in Portland (Oregon). Rioters broke windows of ten businesses and threw projectiles at police. Police fired tear gas. No arrests were made. [size=estimated 100 to 150]"
8477924,1,and local officers intervened firing and impact munitions into the,"On 28 October 2020, about 100 people gathered outside the ICE facility in Portland-South (Oregon) in support of immigrant justice and abolishing ICE. Federal and local officers intervened, firing tear gas and impact munitions into the crowd. A journalist reported being hit three times with munitions and his equipment was also damaged. Another journalist reported being hit with projectiles and witnessed officers targeting press with munitions. Several people were arrested. [size=about 100]"
8477905,1,Homeland Security intervened and used and arrested 5 people size,"On 20 October 2020, between 75 and 100 people gathered at the ICE building in Portland-South (Oregon) in support of immigration justice, the abolishment of ICE, and against the replacement of a public BLM piece of art at a nearby school that was removed over the weekend by a pro-police group. Officers of the Department of Homeland Security intervened and used tear gas and arrested 5 people. [size=between 75 and 100]"
8477897,1,ICE custody DHS officers used to disperse the crowd and,"On 17 October 2020, about 100 people gathered at the ICE building in Portland-South (Oregon) in support of those who have died in ICE custody. DHS officers used tear gas to disperse the crowd and demonstrators threw playground balls or rocks in response. At least one person was arrested. [size=about 100]"
7667892,1,broke up the protest firing and rubber bullets They said,"On 12 October 2020, about 30 protesters, including Tohono O'odham Native American activists, demonstrated at the Border Patrol checkpoint in the Tohono O'odham Nation Reservation (Arizona) to raise concerns about border wall construction and activity on O'odham ancestral land and against alleged 'daily violence' by border patrol agents against O'odham lands and people. The demonstration was organized by the O'odham Anti Border Collective and Defend O'odham Jewed. Police broke up the protest, firing tear gas and rubber bullets. They said that protesters were blocking traffic. Twelve people were arrested. [size=about 30]"
7608028,1,arrested 28 people and used to disperse protesters size more,"On 9 October 2020, more than 100 people staged a protest in Wauwatosa (Wisconsin) in support of the Black Lives Matter movement and against police brutality and the county district attorney's decision to clear police officer Joseph Mensah in the shooting death of Alvin Cole. Police arrested 28 people and used tear gas to disperse protesters. [size=more than 100]"
7607962,1,at officers Police officers fired and arrested the mother and,"On 7 October 2020, people demonstrated in Wauwatosa (Wisconsin) against the county district attorney's decision to clear police officer, Joseph Mensah, in the shooting death of Alvin Cole. Rioters vandalized, damaged, and looted businesses, and threw items at officers. Police officers fired tear gas, and arrested the mother and sister of Alvin Cole, and may have caused severe injury to his mother. [size=no report]"
8477878,1,intervened and federal agents used 6 people were arrested size,"On 6 October 2020, about 50 people gathered and marched to an ICE facility in Portland-South (Oregon) in support of immigrant justice and abolishing ICE. Police intervened and federal agents used tear gas. 6 people were arrested. [size=about 50]"
7607635,1,The police responded by using to disperse the crowd 16,"On 3 October 2020, about 100 people gathered at Capitol Hill in Seattle (Washington) to demonstrate in support of the Black Lives Matter movement and against police brutality. The demonstration turned violent after demonstrators smashed windows of a nearby coffee shop and threw fireworks near police officers. The police responded by using tear gas to disperse the crowd. 16 arrests were made for property destruction, assault and failure to disperse. [size=about 100]"
7606793,1,Capitol The police then deployed to disperse the crowd telling,"On 23 September 2020, about 200 protesters marched later in evening from Woodruff Park to the Capitol building in Atlanta (Georgia) in protest of the a Kentucky grand jury's decision to only indict one of the three former officers involved in the fatal shooting of Breonna Taylor. When those marching arrived at the Capitol, several people banged on the Capitol gates and yelled at the law enforcement present there, which included members of the National Guard. The crowd left the Capitol to continue marching down Mitchell Street, after which about 125 protesters returned to the Capitol. The police then deployed tear gas to disperse the crowd, telling the protesters that they had three minutes to leave the area. 11 protesters were arrested and charged with to 'failure to disperse'. A peaceful protest was held earlier in the day at Johnson Park in southwest. [size=about 240]"
7606801,1,dispersed by police after deploying size about 40,"On 23 September 2020, around five in the afternoon about 40 protesters including members of Tired Movement gathered at Johnson Park in southwest Atlanta (Georgia) in protest of the a Kentucky grand jury's decision to only indict one of the three former officers involved in the fatal shooting of Breonna Taylor. A separate larger march was held later in the evening, which was dispersed by police after deploying tear gas. [size=about 40]"
8477851,1,and 11 people were arrested was used to disperse protesters,"On 18 September 2020, people gathered outside a building of U.S. Immigration and Customs Enforcement (ICE) in Portland-South (Oregon) to protest against child separation policy and in support of the Black Lives Matter movement and against police brutality. Police declared the protest an unlawful gathering and 11 people were arrested. Tear gas was used to disperse protesters despite the ban on use of tear gas by the Portland Police. Authorities said that officers from federal law enforcement deployed the tear gas as the ban did not apply to them. Eyewitness accounts claimed that it was Department of Homeland Security that deployed the tear gas. A journalist reported being shoved by federal officers, she believes she was targeted. [size=no report]"
8477851,1,the ban on use of by the Portland Police Authorities,"On 18 September 2020, people gathered outside a building of U.S. Immigration and Customs Enforcement (ICE) in Portland-South (Oregon) to protest against child separation policy and in support of the Black Lives Matter movement and against police brutality. Police declared the protest an unlawful gathering and 11 people were arrested. Tear gas was used to disperse protesters despite the ban on use of tear gas by the Portland Police. Authorities said that officers from federal law enforcement deployed the tear gas as the ban did not apply to them. Eyewitness accounts claimed that it was Department of Homeland Security that deployed the tear gas. A journalist reported being shoved by federal officers, she believes she was targeted. [size=no report]"
8477851,1,federal law enforcement deployed the as the ban did not,"On 18 September 2020, people gathered outside a building of U.S. Immigration and Customs Enforcement (ICE) in Portland-South (Oregon) to protest against child separation policy and in support of the Black Lives Matter movement and against police brutality. Police declared the protest an unlawful gathering and 11 people were arrested. Tear gas was used to disperse protesters despite the ban on use of tear gas by the Portland Police. Authorities said that officers from federal law enforcement deployed the tear gas as the ban did not apply to them. Eyewitness accounts claimed that it was Department of Homeland Security that deployed the tear gas. A journalist reported being shoved by federal officers, she believes she was targeted. [size=no report]"
8477851,1,Homeland Security that deployed the A journalist reported being shoved,"On 18 September 2020, people gathered outside a building of U.S. Immigration and Customs Enforcement (ICE) in Portland-South (Oregon) to protest against child separation policy and in support of the Black Lives Matter movement and against police brutality. Police declared the protest an unlawful gathering and 11 people were arrested. Tear gas was used to disperse protesters despite the ban on use of tear gas by the Portland Police. Authorities said that officers from federal law enforcement deployed the tear gas as the ban did not apply to them. Eyewitness accounts claimed that it was Department of Homeland Security that deployed the tear gas. A journalist reported being shoved by federal officers, she believes she was targeted. [size=no report]"
8425400,1,a county vehicle Police used and pepper spray to disperse,"On 13 September 2020, following an earlier peaceful demonstration, more than 100 people demonstrated and linked arms on an access ramp in Lancaster (Pennsylvania) against the killing of Ricardo Munoz. The demonstration turned violent when eight people, allegedly 'outside agitators,' threw bottles, bricks, gallon jugs of liquids, and plastic road barricades at police officers. Demonstrators also smashed windows of the police station and damaged a county vehicle. Police used tear gas and pepper spray to disperse the demonstrators. 13 people were arrested, four of whom were from outside Lancaster County and two of whom were armed with handguns. [size=more than 100] [suggested agents provocateurs] [armed]"
7606048,0,to end the use of in controlling on going protests,"Security measures: On 10 September 2020, the mayor of Portland (Oregon) ordered the Portland Police Department to end the use of tear gas in controlling on going protests and riots in Portland."
8425364,0,armed with rifles batons and Opposing groups present in support,"On 7 September 2020, people gathered around the state Capitol in Salem (Oregon) to take part in a pro-Trump rally. Some of the pro-Trump supporters were armed with rifles, batons and tear gas. Opposing groups present in support of the Black Lives Matter movement clashed with at least 2 pro-Trump supporters, identified as being affiliated with the Proud Boys. Two of the Proud Boys were arrested by police for assault. [size=no report] [counter-demonstration] [armed]"
7605796,0,to investigate the source of that was coming into his,"On 5 September 2020, a man was struck in the head in Portland (Oregon) by a police officer after the man came to investigate the source of tear gas that was coming into his house as a riot unfolded nearby. The man was talking with one officer about what was happening when another officer hit him in the head from behind, causing a concussion and a cut to the ear that required stitches from the hospital."
8200058,1,police fired pepper balls and at the crowd During the,"On 5 September 2020, approximately 1000 people gathered for a Black Lives Matter rally at the corner of Jefferson Avenue and Dr. Samuel McCree Way in Rochester (New York) demanding justice for Daniel Prude, a Black man killed by police. Demonstrators threw plastic bottles and a sparkler at police while police fired pepper balls and tear gas at the crowd. During the confrontation, some members of the RPD were injured and windows at City Hall were damaged. Nine demonstrators were arrested. Monroe County Legislator Rachel Barnhart (D) was present and was reportedly struck by a police projectile. [size=approximately 1000]"
7605632,1,year old was hit with during the demonstration size a,"On 5 September 2020, a few hundred people rallied in Los Angeles (California) in support of the Black Lives Matter movement and against police brutality and the death of Dijon Kizzee. Sheriff's deputies declared the assembly unlawful in the evening when 100-200 people were still remaining. Deputies deployed flash-bang grenades and chemical irritants to disperse the demonstration. A seven year old was hit with tear gas during the demonstration. [size=a few hundred]"
8477837,1,one person Police then used and pepper balls to disperse,"On 5 September 2020, people gathered in Ventura Park in Portland-Southeast (Oregon) and began to march to the Portland PD's East Precinct in support of the Black Lives Matter movement and against police brutality. Police intervened, informing the marchers that no such event was permitted. The demonstration turned violent after a Molotov cocktail was thrown by one of the demonstrators, injuring one person. Police then used tear gas and pepper balls to disperse the crowd. Police also made 59 arrests and declared a riot. One journalist reported being hit with shrapnel by police officers, while another journalist was shoved. [size=no report]"
7717360,1,also fired pepper balls and A bus stop was also,"On 4 September 2020, about 2000 people gathered in Rochester (New York) in support of the Black Lives Matter movement and against police brutality and the March 2020 death of a Rochester local, Daniel Prude. During the demonstration a driver sprayed yellow substance at demonstrators and intentionally drove into a protester, injuring the protester. Demonstration turned violent later and authorities claimed they were hit with projectiles and incendiary devices, leading to cuts, bruises, and burns among several police officers. Police also fired pepper balls and tear gas. A bus stop was also lit on fire. [size=about 2000] [car ramming]"
7739802,1,police fired pepper spray and into a crowd of protesters,"On 2 September 2020, people held a protest at the Monroe County Public Safety Building and other parts of Rochester (New York) in support of the Black Lives Matter movement and against police brutality and the March 2020 death of a Rochester local, Daniel Prude. In the afternoon police fired pepper spray and tear gas into a crowd of protesters outside the police headquarters. 9 people were arrested. [size=no report]"
7610622,1,brutality Police intervened and fired and rubber bullets at protesters,"On 30 August 2020, people staged a protest in Washington DC (District of Columbia) in support of the Black Lives Matter movement and against police brutality. Police intervened and fired tear gas and rubber bullets at protesters. There were no reports on injuries, arrests, or protester violence. [size=no report]"
7605140,1,Blake Police intervened and fired on a group of approximately,"On 29 August 2020, roughly 250 demonstrators marched in Oakland (California) in support of the Black Lives Matter movement and against police brutality and the shooting of Jacob Blake. Police intervened and fired tear gas on a group of approximately 150 demonstrators. Six people were arrested. [size=roughly 250]"
7752150,1,Officers fired pepper balls and in response Another group of,"On 28 August 2020, a group of people began rioting in the evening in Denver (Colorado) in support of the Black Lives Matter movement and against police brutality. This followed the conclusion of 12 hours of peaceful protests during the day marking the 57th anniversary of the March on Washington. The group of demonstrators arrived with homemade shields and clashed with police officers. Officers fired pepper balls and tear gas in response. Another group of 50 or more counter-demonstrators affiliated with the United American Defense Force arrived in camouflage to stand with the officers later but dispersed after police told them to leave. [size=50 or more] [counter-demonstration]"
8425457,1,at officers while police shot pellets and rubber bullets into,"On 25 August 2020, about 1,000 demonstrators gathered outside the courthouse in Kenosha (Wisconsin) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd and police shooting of Jacob Blake. Demonstrators set off fireworks aimed at officers, while police shot tear gas pellets and rubber bullets into the crowd. A teenager shot and killed two demonstrators and injured another. The teenager was responding to a Kenosha Guard call-to-action called the ''Armed Citizens to Protect our Lives and Property'' and joined a security detail including the Kenosha Guard and local Boogaloo Boys, but reportedly was not a member of the two groups. Police reportedly welcomed the suspect and other armed individuals present at the demonstration prior to the shooting. The teenager was not detained at the scene, but was later arrested and has since been charged with homicide. The man who illegally purchased firearms for the teenager was charged with two felony counts of intentionally selling a gun to a minor on 9 November 2020. [size=about 1000] [armed]"
8478740,1,at officers by responding with At least three officers were,"On 24 August 2020, about 200 people marched to the police headquarters in Los Angeles-Central (California) in support of the Black Lives Matter movement and against police brutality, the death of Anthony McClain, and the shooting of Jacob Blake. Police intervened when demonstrators threw water bottles at officers by responding with tear gas. At least three officers were injured. [size=about 200]"
7716927,1,dealership The police responded with beanbags and audio dispersal techniques,"On 24 August 2020, a crowd of several hundred people demonstrated in Kenosha (Wisconsin) in support of the Black Lives Matter movement and against the shooting of Jacob Blake. Demonstrators set fires, smashed storefronts, and tore down street signs . More than 100 cars were destroyed by fire at a car dealership. The police responded with tear gas, beanbags, and audio dispersal techniques. [size=several hundred]"
8479103,1,Police Association building Police deployed and used other crowd control,"On 24 August 2020, roughly 300 people staged demonstration in Portland-North (Oregon) in support of the Black Lives Matter movement, against police brutality and the death of George Floyd and shooting of Jacob Blake. Rioters set multiple fires at the Portland Police Association building. Police deployed tear gas and used other crowd control munitions. Twenty-five people are arrested. [size=roughly 300]"
7604643,1,a brick and police used to disperse the crowd Demonstrators,"On 23 August 2020, hundreds of people demonstrated in Kenosha (Wisconsin) in support of the Black Lives Matter movement and against the shooting of Jacob Blake. One police officer was hit with a brick, and police used tear gas to disperse the crowd. Demonstrators set multiple vehicles on fire and smashed the windows of storefronts and government buildings. [size=hundreds]"
7604224,1,against police violence Police used to disperse the protesters and,"On 22 August 2020, 400 people protested against Operation Legend in Detroit (Michigan) and in support of the Black Lives Matter movement and against police violence. Police used tear gas to disperse the protesters, and arrested 44 individuals. [size=400]"
8478099,1,pepper balls stun grenades and but police deny using these,"On 20 August 2020, about 100 people gathered at the ICE facility in Portland-South (Oregon) in support of abolishing ICE. The demonstration turned violent when the crowd threw rocks and bottles at Portland police and Federal Protection Services officers who exited the building. Demonstrators lit a large dumpster fire. Police said that the crowd shined lasers and launched commercial grade fireworks towards them. Police and federal agents responded with pepper balls, stun grenades and tear gas, but police deny using these weapons. Two journalists were hit with crowd control munitions. Two demonstrators were arrested for 'interfering with a peace officer' and the third for 'interfering with a peace officer and second-degree disorderly conduct.' [size=about 100]"
7604272,1,fired crowd control munitions and to disperse the crowd size,"On 19 August 2020, a crowd of about 200 rioters demonstrated in Portland (Oregon) in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd. The demonstrations turned violent when the rioters smashed the windows of a county government building, and set the Federal immigration building on fire. Police fired crowd control munitions and tear gas to disperse the crowd. [size= about 200]"
7716609,0,the facility s production of Five people chained together blockaded,"On 18 August 2020, about 35 people protested at a facility that makes police and military equipment in Greene Township (Pennsylvania) against the facility's production of tear gas. Five people chained together blockaded the front gate, blocking employees from leaving. They were arrested for refusal to disperse. [size=about 35]"
7667351,1,clashed with police Police used and flash bang devices in,"On 18 August 2020, about 200 demonstrators staged a demonstration in Portland (Oregon) in support of the Black Lives Matter movement. The demonstration turned violent when demonstrators started to break out the windows of a county government building, sprayed lighter fluid inside, set a fire, and clashed with police. Police used tear gas and flash bang devices in response. A police officer pushed two journalists to the ground. One was struck on the head multiple times with a truncheon. The other hit his head on the pavement after being shoved by police and also reported his phone being destroyed by a police officer. Two demonstrators were arrested and one officer was injured. [size=about 200]"
7604430,0,use of and profit from and other law enforcement tools,"On 17 August 2020, as many as 30 demonstrators picketed in Jamestown (Pennsylvania) outside a tactical systems company to protest the use of and profit from tear gas and other law enforcement tools. [size=as many as 30]"
8478585,1,journalist reported being hit with and impact munitions despite being,"On 15 August 2020, hundreds of people demonstrated in Portland-Northeast (Oregon) in support of the Black Lives Matter movement and against police brutality. At night, around 200 people demonstrated in East Portland but things turned violent when demonstrators began throwing objects at the police. Police declared a riot and deployed gas, smoke, and charged at the demonstrators with batons. A man who was believed to be intoxicated who was not a part of the demonstration crashed his car into the Portland Police union building. Several armed members of the American Wolves patrolled the demonstration from across the street at the beginning of the night, claiming they were there to 'observe'. After verbal confrontations with the demonstrators, police escorted them away from the group. Later in the night while the demonstrators were clashing with the police, members of the American Wolves sprayed bear mace at a female demonstrator. The limousine driver for the American Wolves allegedly 'flashed a handgun' at demonstrators. A journalist reported being hit with tear gas and impact munitions despite being clearly labeled press. [size=hundreds]"
8478588,0,made According to police no was used to disperse protesters,"On 11 August 2020, hundreds of people demonstrated in Portland-Northeast (Oregon) in support of the Black Lives Matter movement and against police brutality. About 200 people marched to Multnomah County Sheriff's office and Police bureau. No incidents were reported. No arrests were made. According to police, no tear gas was used to disperse protesters from the Police bureau. [size=hundreds]"
