data_id,keep,target,context,notes
8399727,1,pepper,Dijon Kizzee Officers allegedly shot balls at protesters hitting at,"On 12 June 2021, people rallied and marched in Los Angeles (California) in support of the Black Lives Matter movement and against the Los Angeles County Sheriff's Department, police brutality, and the death of Dijon Kizzee. Officers allegedly shot pepper balls at protesters, hitting at least one journalist in the leg. [size=no report]"
8073153,0,pepper,who died after jail guards sprayed him on 3 June,"On 3 June 2021, a massive crowd gathered outside the Metropolitan Detention Center in New York - Brooklyn (New York) in support of the Black Lives Matter movement and against police brutality and the death of Jamel Floyd, who died after jail guards pepper sprayed him on 3 June 2020. [size=massive]"
8005120,0,pepper,California where the owner was sprayed by a shoplifter on,"On 20 May 2021, people protested outside of GoApple shop in Chinatown San Francisco (California) where the owner was pepper sprayed by a shoplifter on 15 May 2021, saying the District Attorney's policies are making San Francisco more dangerous. [size=no report]"
8004902,0,pepper,Jewish man was punched kicked sprayed and beaten with a,"On 20 May 2021, a pro-Palestinian demonstration was carried out by people in Times Square in New York - Manhattan (New York) against the evictions of families in Sheikh Jarrah in East Jerusalem, Israeli military airstrikes in Gaza, and to support self-determination for Palestinians. A pro-Israel demonstration expressed support for the Israeli government and opposed rocket strikes by Hamas from Gaza. During the events, the two groups clashed, with some demonstrators throwing water bottles and other projectiles at each other. At one point, a Jewish man was punched, kicked, pepper-sprayed, and beaten with a crutch by five or six pro-Palestinian demonstrators. It is unknown why the pro-Palestinian demonstrators began assaulting him. It is also unclear whether the Jewish man was participating in the demonstration, but was seen apart from the demonstrators. Another Jewish woman was hit with fireworks by pro-Palestinian demonstrators. Both incidents are being investigated as hate crimes by the NYPD. At least 26 people were arrested, after which pro-Palestine demonstrators marched to One Police Plaza to demand the release of arrested demonstrators. [size=no report] [counter-demonstration]"
8004746,0,pepper,the Jewish diners but was sprayed by the pro Palestinian,"On 18 May 2021, members of the Jewish community were attacked by a pro-Palestinian group while dining at the restaurant in Los Angeles (California). A car caravan displaying Palestinian flags drove by while using anti-Semitic language. A man exited vehicle and asked the diners if they were Jewish before he and others from the vehicle initiated a fight with some Jewish diners. Another man tried to defend the Jewish diners but was pepper-sprayed by the pro-Palestinian group. Police are investigating as a possible hate crime. [size=no report]"
8004897,0,pepper,Islamic Council attended A man sprayed three protesters near the,"On 15 May 2021, a pro-Palestinian demonstration was carried out by hundreds of people in Fresno (California) to bring attention to the conflict in Gaza and to support Palestine. The event was hosted by Peace Fresno and co-hosted by Palestine Freedom Project, Local Palestinian Community, Fresno Center for Nonviolence, Veterans For Peace, Reedley Peace Center, and World Beyond War. Members of the Central Valley Islamic Council attended. A man pepper-sprayed three protesters near the protest site and yelled negative things about Palestine. Police are investigating the incident. This event occurred on the anniversary of Nakba Day, a commemoration day for Palestinians. [size=hundreds]"
8425357,0,irritant,damaged tires and sprayed an at the driver Police are,"On 6 May 2021, people marched in Portland (Oregon) in support of the Black Lives Matter movement and against police brutality and the deaths of George Floyd and Patrick Kimmons, a Black man fatally shot by Portland police in 2018. An altercation between the driver of a vehicle and demonstrators resulted in guns being drawn by both sides after the man refused to leave. He later got out of his car with his weapon drawn and was subsequently disarmed by demonstrators without firing a shot. According to police, demonstrators broke windows, damaged tires, and sprayed an irritant at the driver. Police are investigating the incident. [size=no report] [armed]"
7974726,1,pepper,2 May 2021 police arrested sprayed and sedated a Black,"Other: On 2 May 2021, police arrested, pepper-sprayed, and sedated a Black man during an arrest in Bridgeport (Connecticut) while responding to a domestic violence call, claiming that the man tried to kick and bite the officers. The officers struggled with the man while in handcuffs and a bystander yelled at officers to get off the man's neck according to video footage. The man reportedly resisted treatment by EMTS who sedated him before he was transported to a hospital. The police officers involved are under administrative investigation."
7934449,1,pepper,and journalists and allegedly deployed spray against some protesters size,"On 24 April 2021, several dozen people organized by Black Kings NYC marched from Brooklyn into Manhattan in New York City (New York) in support of the Black Lives Matter movement, against police brutality, to demand an end to excessive force by officers in protests, and to call on the NYPD to fire an officer who drew his gun on protesters in January. Police forcibly removed protesters and journalists and allegedly deployed pepper-spray against some protesters. [size=several dozen]"
7923519,0,pepper,group shoved and attempted to spray a man who was,"On 20 April 2021, a group of people in black bloc marched through Seattle (Washington) for an unreported reason. Members of the group shoved and attempted to pepper spray a man who was taking video of them. Police arrested one person for obstruction. [size=no report]"
7923525,1,pepper,a demonstrator Police also used spray and arrested two demonstrators,"On 20 April 2021, between 85 and 150 people demonstrated in Portland (Oregon) in support of the Black Lives Matter movement and against police brutality and the deaths of George Floyd and Daunte Wright. Demonstrators smashed windows of businesses and spray-painted buildings and police officers exchanged punches with a demonstrator. Police also used pepper spray and arrested two demonstrators. [size=between 85 and 150]"
7923417,0,pepper,police brutality after police officers sprayed demonstrators at an event,"On 19 April 2021, people gathered at Arch Street in Albany (New York) in support of the Black Lives Matter movement and against police brutality after police officers pepper-sprayed demonstrators at an event on 14 April 2021. This was the third day of an encampment by protesters, who are demanding two police officers be fired and Police Chief Eric Hawkins and Mayor Kathy Sheehan resign. [size=no report]"
7923538,0,irritant,threw rocks sprayed a liquid on officers and vandalized buildings,"On 17 April 2021, more than 50 people rallied in Sacramento (California) in support of the Black Lives Matter movement and against police brutality. Demonstrators threw rocks, sprayed a 'liquid irritant' on officers, and vandalized buildings. Four officers were hospitalized overnight. This group was separate from a peaceful demonstration on the same day. [size=more than 50]"
7923354,0,pepper,police brutality after police officers sprayed demonstrators at an event,"On 17 April 2021, scores of people marched from Townsend Park to Arch Street in Albany (New York) in support of the Black Lives Matter movement and against police brutality after police officers pepper-sprayed demonstrators at an event on 14 April 2021. Protesters set up an encampment in front of South Station on Arch Street and are demanding two police officers be fired and Police Chief Eric Hawkins and Mayor Kathy Sheehan resign. [size=scores]"
7923256,1,pepper,fired flash bang grenades and sprayed rioters Police arrested more,"On 16 April 2021, several hundred to 1000 people demonstrated for the sixth consecutive night in Brooklyn Center (Minnesota) against the death of Daunte Wright, a Black man shot by a police officer, to call for accountability, to demand that the National Guard leave, and to stand against police brutality. Members of a Black communal militia called the Minnesota Freedom Fighters were present to keep the peace but were unarmed. Police issued dispersal orders, fired flash-bang grenades, and pepper-sprayed rioters. Police arrested more than 160 people, including 15 journalists, after people threw objects at officers and tried to breach the fence. Reporters say they were harassed, assaulted, and forced to lie on their stomachs while police photographed them and their credentials. [size=several hundred to 1000]"
7898329,1,pepper,no arrests reported and no spray tear gas rubber bullets,"On 15 April 2021, hundreds of people including about 70 clergy across faith traditions and members of CAIR gathered for the fifth consecutive day in Brooklyn Center (Minnesota) to protest the fatal shooting of Daunte Wright on April 11th, to show support for the Black Lives Matter movement, to demand more severe charges against the white former police officer, and to protest the death of 13-year-old Adam Toledo. There were no arrests reported, and no pepper spray, tear gas, rubber bullets or flash bangs were used by police or National Guard. [size=hundreds]"
7898551,1,pepper,fired several flash bang grenades spray canisters and marker rounds,"On 14 April 2021, a few hundred people gathered outside police headquarters in Brooklyn Center (Minnesota) for a fourth consecutive night to demand more serious charges against the police officer who shot and killed Daunte Wright on April 11th. The officer who shot Daunte Wright was also charged with second-degree manslaughter earlier that day. At night, some people shot off fireworks and threw objects at police, who fired several flash-bang grenades, pepper spray canisters and marker rounds. Police arrested at least 24 people for curfew violations. [size=few hundred]"
7898570,1,pepper,window causing police to deploy spray on the crowd size,"On 14 April 2021, about 50 to 60 people demonstrated at the Albany Police Department in Albany (New York) in support of the Black Lives Matter movement and against police brutality and the death of Daunte Wright. Some demonstrators threw water bottles at police officers who were protecting the police station and one demonstrator broke a window, causing police to deploy pepper spray on the crowd. [size=50 to 60]"
7898555,1,pepper,at least one person allegedly sprayed officers An Ohio University,"On 13 April 2021, about 50-100 people demonstrated outside the Division of Police headquarters in Columbus (Ohio) against the fatal police shootings of Daunte Wright on 11 April and of Miles Jackson at St. Ann's Hospital on 12 April. Police pepper-sprayed the group and at least one person allegedly pepper-sprayed officers. An Ohio University student also allegedly struck a police sergeant with a wooden club and was arrested. [size=about 50-100]"
7923948,1,pepper,went into effect officers used spray and flash bombs to,"On 13 April 2021, 800-1000 people including members of the groups CAIR-Minnesota, Communities United Against Police Brutality, Racial Justice Network, Twin Cities Coalition for Justice for Jamal, Minnesota Justice Coalition, and Black Lives Matter Twin Cities marched from the Police Department to the FBI headquarters in Brooklyn Center (Minnesota) for a third straight night against the death of Daunte Wright, a Black man who was killed by a white police officer, and to show support for the Black Lives Mater movement. After the 7 p.m. curfew went into effect, officers used pepper spray and flash bombs to disperse rioters who hurled bottles and bricks and sprayed mace at officers. Rioters also set fires in the middle of the road. Police and state patrol made 60-79 arrests. [size=800-1000]"
8478322,1,pepper,and used impact munitions and spray to disperse the demonstrators,"On 12 April 2021, about 200 demonstrators in black bloc gathered at the Multnomah County sheriff's office in Portland-Southeast (Oregon) in support of the Black Lives Matter movement and against police brutality and the deaths of George Floyd and Daunte Wright. Demonstrators threw bottles, rocks, ball bearings, bricks, concrete, and fireworks at police and caused extensive damage to the building. Police declared a riot and used impact munitions and pepper spray to disperse the demonstrators. It was reported that police bull-rushed the rioters and members of the press were knocked down. No arrests have been reported. [size=about 200]"
8478321,1,pepper,and DHS officers responded with balls There were no arrests,"On 10 April 2021, around 100 people gathered for a demonstration at the ICE facility in Portland-South (Oregon) in support of abolishing ICE and against Biden's immigration policy. Demonstrators started two fires outside the building and DHS officers responded with pepper balls. There were no arrests. [size=around 100]"
8425125,0,pepper,after a counter demonstrator used spray on him Four people,"On 28 March 2021, right-wing demonstrators, including members of the Proud Boys, gathered for a car caravan 'Freedom Rally' from Sandy to the State Capitol building in Salem (Oregon) to 'honor those who fought for freedoms in the United States' with some carrying flags in support of law enforcement and Former President Trump. At least 150-200 counter-demonstrators, some dressed in black bloc and carrying firearms, including people affiliated with Antifa, gathered at the state Capitol for a 'Fascist Free 503' event during which some people threw paint-filled balloons at the right-wing caravan. The police intervened against the counter-demonstrators and declared an unlawful assembly and used impact munitions against the counter-demonstrators. The police attempted to prevent the car caravan from entering Salem, but right-wing demonstrators still clashed with counter-demonstrators at the Capitol. One right-wing demonstrator, reportedly a member of the Civil Defense Force, brandished a gun at the crowd after a counter-demonstrator used pepper spray on him. Four people were arrested. [size=at least 150-200] [counter-demonstration] [armed]"
7789791,0,Pepper,a protest outside a Dr Facility in Redford Charter Township,"On 26 March 2021, people including the Teamsters Local 337 held a protest outside a Dr. Pepper Facility in Redford Charter Township (Michigan) to raise awareness and ask that people boycott of 7UP products including Vernor's and Dr Pepper as part of their ongoing contract dispute with the company. [size=no report]"
7789741,0,Pepper,a strike outside a Dr Facility in Redford Charter Township,"On 23 March 2021, people including the Teamsters Local 337 held a strike outside a Dr. Pepper Facility in Redford Charter Township (Michigan) to stand against a racist and unequal two tier wage system and to call for a boycott of 7UP products including Vernor's and Dr. Pepper. [size=no report]"
7789881,0,Pepper,negotiations failed at the Dr facility size several,"On 21 March 2021, several lawmakers and congresspeople like Debbie Dingell and Rashida Tlaib stood with local Teamsters in Redford Charter Township (Michigan) to show support for union workers and fair wages especially for Black workers after contract negotiations failed at the Dr. Pepper facility. [size=several]"
8260598,1,pepper,and vandalized property Police fired balls to disperse the crowd,"On 21 March 2021, a crowd of around 400 mostly maskless people gathered in the street in Miami Beach (Florida) after a curfew took effect at 8PM. Many in the group jumped on cars, shattered glass, and vandalized property. Police fired pepper balls to disperse the crowd, causing a stampede. The city instated the curfew in an attempt to control large, 'unruly' crowds that have traveled to Florida for spring break amid the coronavirus pandemic, as Florida does not have mask mandates or other coronavirus regulations in place. [size=around 400]"
7766647,1,pepper,live in tents Police officers sprayed a line of people,"On 18 March 2021, more than 100 people showed up at a homeless encampment in Minneapolis (Minnesota) to protest the city's plans to clear the empty lot where about 20 people live in tents. Police officers pepper-sprayed a line of people to disperse them and arrested at least five. [size=more than 100]"
7766657,1,pepper,police entered the crowd using spray and making initial arrests,"On 13 March 2021, about 100 demonstrators dressed in black marched through Seattle (Washington) in support of the Black Lives Matter movement and against police brutality on the one-year anniversary of the death of Breonna Taylor, a Black woman who was killed during a no-knock police raid. Some demonstrators pulled barricades, fencing, and cones from a construction site and placed them in the street, blocking multiple lanes of traffic. As police entered the crowd, using pepper spray and making initial arrests of those who blocked traffic, other demonstrators began throwing rocks at police, striking an officer who was protected by his helmet and was not injured. Police arrested 13 people, including seven for obstruction, three for pedestrian interference, one for assault on an officer, and one for property damage. [size=no report]"
7789523,0,pepper,altercation including the use of spray occurred Police intervened and,"On 13 March 2021, an unreported number of people including members of the Proud Boys staged a 'Recall Newsom' rally in Los Angeles (California) against Democratic state leadership and Governor Newsom. Counter-demonstrators were present and a physical altercation including the use of pepper spray occurred. Police intervened and arrested three, while other officers allegedly hit demonstrators in the stomach with batons. [size=no report] [counter-demonstration]"
8260694,1,pepper,in Miami Florida Officers deployed balls and pepper spray to,"On 12 March 2021, police officers were swarmed by a large 'unruly' crowd of more than 200 mostly maskless people as they attempted to arrest a man in Miami (Florida). Officers deployed pepper balls and pepper spray to disperse the crowd and two officers were injured. Local police noted that spring break crowds have been more difficult to control amid the coronavirus pandemic, as Florida does not have mask mandates or other related regulations in place. [size=more than 200]"
7751557,1,pepper,after which tear gas and spray were used by police,"On 12 March 2021, roughly 100 people including the Oregon ACLU participated in a demonstration in Portland (Oregon) in support of the Black Lives Matter movement, and against police brutality, the death of George Floyd, and the DHS. Demonstrators turned violent when they broke two windows. Police intervened, mass-detaining 100 people through a kettle maneuver. Police released journalists and legal observers one by one from the kettle after recording their personal information and photographing them as part of a criminal investigation for a crime which police would not specify. Those released were made to wear duct tape on their chest with their personal information written on it. It was reported that some people outside the kettle threw rocks and cans of beer at police, after which tear gas and pepper spray were used by police on demonstrators outside the kettle. 13 demonstrators were arrested. [size=roughly 100]"
8478236,1,pepper,by officers and shot with balls size about 100,"On 11 March 2021, about 100 people gathered for a 'Stop Line 3' demonstration in Portland-Downtown (Oregon) in solidarity with the Anishinaabe tribe, in support of abolishing ICE, to support water rights, and against DHS and the proposed Line 3 pipeline expansion. The demonstrators went to several sites where funders of the pipeline project were located, including a Chase Bank where a security guard pulled a gun on demonstrators as they attempted to enter the building. The demonstration turned violent when around 50 to 60 demonstrators in black bloc lit fires, smashed windows, and pulled protective plywood off the Mark O. Hatfield federal courthouse. Federal officers fired tear gas and chemical munitions two dozen times at the rioters to disperse the crowd. At least one person was arrested. A journalist and a scientist documenting police use of tear gas reported being targeted by officers and shot with pepper balls. [size=about 100]"
7751899,1,pepper,2021 police officers tased and sprayed a Black man in,"Other: On 7 March 2021, police officers tased and pepper sprayed a Black man in handcuffs in Brownsville (Tennessee) during a traffic stop. The police said they used compliance tactics to get the victim into the police vehicle after he previously resisted arrest. The victim had no injuries. The incident sparked subsequent demonstrations."
7766952,1,pepper,car Police responded by shooting balls and deploying tear gas,"On 6 March 2021, around 500 to 800 people, including many university students, gathered in a neighborhood in Boulder (Colorado) for a large party. When the party was broken up, students turned violent and began to riot, setting off fireworks, throwing rocks and bottles at police officers and at SWAT officers who arrived later, and flipping over a car. Police responded by shooting pepper balls and deploying tear gas. Three police officers sustained minor injuries and several cars, including a police car and a fire department vehicle, were damaged. No arrests were made at the scene but six people were later arrested based on video evidence on charges related to rioting, violating the coronavirus pandemic public health order, and assault. [size=around 500 to 800]"
7716668,0,pepper,against a planned removal of trees in the Kensington neighborhood,"On 16 February 2021, a small group of people rallied in San Diego (California) against a planned removal of pepper trees in the Kensington neighborhood. [size=small group]"
7695503,0,pepper,year old was handcuffed and sprayed on 29 January 2021,"On 7 February 2021, around 20 people protested in Washington Square Park in New York - Manhattan (New York) against police brutality after a 9 year old was handcuffed and pepper sprayed on 29 January 2021. [size=around 20]"
8479154,1,pepper,Martin Federal officers intervened with balls and munitions size around,"On 5 February 2021, around 100 people gathered for a demonstration outside the ICE facility in Portland-South (Oregon) in support of abolishing ICE, to support the Black Lives Matter movement, and against police brutality and the deaths of George Floyd and Trayvon Martin. Federal officers intervened with pepper balls and munitions. [size=around 100]"
7667409,0,pepper,in riot gear and carrying bullet guns observed marchers from,"On 4 February 2021, an unreported number of people rallied and marched in Los Angeles (California) in support of the Black Lives Matter movement and against police brutality and the deaths of Dijon Kizzee, AJ Weber, and Fred Williams. Members of the Coalition for Community Control Over the Police and at least nine family members of the deceased attended. About 25 sheriff's deputies in riot gear and carrying pepper bullet guns observed marchers from the roof of buildings along their route. [size=no report]"
7667606,0,pepper,without pay that handcuffed and sprayed a Black 9 year,"On 3 February 2021, about two dozen people and members of Community Justice Initiative protested at the Rochester Police Locust Club in Rochester (New York) demanding union president Mike Mazzeo resign, suspend the officers without pay that handcuffed and pepper sprayed a Black 9 year old girl on 29 January 2021, pass Nailah's Law, and end the contract with the Locust Club. [size=about two dozen]"
7667674,0,pepper,police officers that handcuffed and sprayed a 9 year old,"On 1 February 2021, at least 200 people protested at New York Police Department's Clinton Section Precinct in Rochester (New York) against the police officers that handcuffed and pepper sprayed a 9 year old girl while responding to a call at the child's home on 29 January 2021. Protesters chanted 'Black lives matter' and 'RPD, look what you did - you just maced a little kid.' They also rattled and removed barricades but there was no violence or arrests. [size=at least 200]"
7717091,1,pepper,responded to the incident using bullets and a flash bang,"On 31 January 2021, 45 members of Oly Housing Now, some armed with weapons including a hatchet, batons, and knives, held a demonstration against the eviction of homeless people at the Red Lion Inn & Suites in Olympia (Washington) where 40 homeless people had been booked in rooms. Demonstrators entered and took control of the hotel to ensure that the homeless people would not be forced to leave once their bookings expired. SWAT, the Thurston County Sheriff's Department, and the Washington State Patrol responded to the incident, using pepper bullets and a flash bang to remove demonstrators. A hotel worker was hurt in an unspecified way during the occupation, and 10 demonstrators were arrested, including three on felony charges, though at least two of these were for outstanding warrants. Supporters of the takeover chanted anti-police slogans outside the hotel. [size=45]"
7667394,1,pepper,in police hit demonstrators with spray The woman they were,"On 29 January 2021, 15 to 20 demonstrators affiliated with People's Rights gathered outside Salmon Creek Medical Center in Salmon Creek (Washington) to call for the release of a patient who they claimed was being held against her will because she wouldn't submit to a coronavirus test. The demonstrators did not wear masks to prevent the spread of coronavirus, and therefore were prevented from entering the building. When they attempted to force their way in, police hit demonstrators with pepper spray. The woman they were demonstrating on behalf of was later released from the hospital. [size=15 to 20]"
8478129,1,pepper,intervened and deployed munitions including balls after people threw projectiles,"On 27 January 2021, around 50-100 people, including members of Antifa, gathered for a Holocaust memorial which evolved into a demonstration at the ICE facility in Portland-South (Oregon) in support of abolishing ICE. Federal officers and police intervened and deployed munitions, including pepper balls, after people threw projectiles at Federal officers and set a dumpster on fire. One journalist reported being hit in the finger with munitions. Federal officers made one arrest. A nearby school requested that authorities stop using tear gas due to it seeping into the lawn that children play on. [size=around 50-100]"
7615701,1,pepper,physical force as well as spray and a stun gun,"On 17 January 2021, police officers used 'a significant level' of physical force as well as pepper spray and a stun gun while attempting to restrain Kevin Lavira Desir, a Black inmate who was suffering from a mental health crisis while in custody at the Broward County Jail in Fort Lauderdale (Florida). Desir 'lost consciousness and became non-responsive' following the altercation and died from brain damage a little over a week later."
7614646,0,pepper,threw fake blood and used spray on employees before fleeing,"On 10 January 2021, about a dozen animal rights activists demonstrated outside Antonelli Poultry Co. in Providence (Rhode Island) with signs saying, 'Don't hurt animals for anything.' They also threw fake blood and used pepper spray on employees before fleeing. [size=about a dozen]"
8425030,0,pepper,reportedly assaulted two journalists with spray before threatening to kill,"On 6 January 2021, hundreds of people, including Patriot Prayer founder Joey Gibson, gathered outside the State Capitol in Olympia (Washington) to demonstrate in favor of Donald Trump during a process in which electoral votes for the 2020 election, which Trump claimed were based on fraudulent results, were being certified in Washington, DC. Some demonstrators carried QAnon flags. A portion of the crowd marched to the nearby Governor's Mansion, after which a group broke onto the Mansion's grounds, and initially ignored orders to disperse from police who arrived on the scene before being escorted out. Other armed men joined the demonstration outside of the mansion, including a demonstrator with a Hitler Youth knife on his webbing who shouted threats about killing Boomers. No arrests were reported on the day of the demonstration. On 19 January police arrested a man on second-degree assault, felony harassment, and criminal trespassing charges for his actions on 6 January. The man reportedly assaulted two journalists with pepper-spray before threatening to kill a third. Some demonstrators carried firearms. [size=hundreds] [stop the steal] [armed]"
8425032,0,pepper,Salt Lake Tribune photographer was sprayed and insulted by demonstrators,"On 6 January 2021, about 200 to about 400 people, including members of the Proud Boys and Utah Citizens Alarm gathered outside the State Capitol in Salt Lake City (Utah) to demonstrate in favor of Donald Trump during a process in which electoral votes for the 2020 election, which Trump claimed were based on fraudulent results, were being certified in Washington, D.C. A small group of pro-Black Lives Matter counter-demonstrators were also present, as was at least one person with a pro-Biden sign. Police mostly kept demonstrators and counter-demonstrations apart during the demonstration, but one person was escorted off the premises by members of the Proud Boys and Utah Citizens Alarm armed with bats and guns, and a Salt Lake Tribune photographer was pepper sprayed and insulted by demonstrators upset he was documenting them. State Capitol staff were asked to work from home as a precaution. [size=about 200 to about 400] [stop the steal] [counter-demonstration] [armed]"
8478048,0,pepper,her with their fists and spray One demonstrator also stole,"On 6 January 2021, about 200 people staged a 'Stop the Steal' and 'Freedom Protest' rally at City Hall and police headquarters in Los Angeles-Central (California) in support of Donald Trump. 15 organizations including the Proud Boys put together the event. Demonstrators caravanned to Los Angeles from seven cities and about 50 people came from Pasadena. An unreported number of counter demonstrators, many affiliated with Refuse Fascism, were also present. Physical altercations occurred between the two groups and at least one counter demonstrator was maced in the face by an unknown party. Proud Boys also surrounded, hit, and chased a journalist. A Black woman was followed and encircled by Pro-Trump demonstrators who allegedly used racial slurs against her and physically assaulted her with their fists and pepper spray. One demonstrator also stole her wig. Another Pro-Trump demonstrator physically removed the civilian from the crowd as a 'good Samaritan' act. Officers at the scene did not intervene, but later filed hate crime and battery charges for the incident. At least six people were arrested. [size=about 200] [stop the steal] [counter-demonstration]"
