latitude,longitude,city,state,county,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
40.7775,-111.8882,"Salt Lake City",UT,"Salt Lake County",84114,40.777218,-111.888202,1,rooftop,350,"N State St",,,"Salt Lake City",UT,"Salt Lake County",84114,US,"Utah AGRC (and individual UT counties)",2021,49,49035,"Salt Lake City",4967000,100700,2001,2,490351007002001,49035100700,"Salt Lake City, UT",41620,metropolitan,"Salt Lake City-Provo-Orem, UT",482,,
40.8451,-73.8649,Bronx,NY,"Bronx County",10462,40.845082,-73.864944,1,rooftop,1740,"Hunt Ave",,,Bronx,NY,"Bronx County",10462,US,"City of New York",2021,36,36005,"New York",3651000,023800,3001,3,360050238003001,36005023800,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
34.257,-85.1647,Rome,GA,"Floyd County",30161,34.256963,-85.164801,1,nearest_street,,"US 27",,,Rome,GA,"Floyd County",30161,US,"TIGER/Line® dataset from the US Census Bureau",2021,13,13115,Rome,1366668,000600,2043,2,131150006002043,13115000600,"Rome, GA",40660,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",122,,
30.2241,-92.0198,Lafayette,LA,"Lafayette Parish",70501,30.224247,-92.019922,1,rooftop,200,"W Vermilion St",,,Lafayette,LA,"Lafayette Parish",70501,US,Lafayette,2021,22,22055,Lafayette,2240735,000100,3012,3,220550001003012,22055000100,"Lafayette, LA",29180,metropolitan,"Lafayette-Opelousas-Morgan City, LA",318,,
35.0844,-106.6511,Albuquerque,NM,"Bernalillo County",87102,35.084188,-106.651201,1,rooftop,316,"Central Ave SW",,,Albuquerque,NM,"Bernalillo County",87102,US,Bernalillo,2021,35,35001,Albuquerque,3502000,002100,1048,1,350010021001048,35001002100,"Albuquerque, NM",10740,metropolitan,"Albuquerque-Santa Fe-Las Vegas, NM",106,,
44.3106,-69.7794,Augusta,ME,"Kennebec County",04330,44.310175,-69.779998,0.99,rooftop,45,"Memorial Cir",,,Augusta,ME,"Kennebec County",04330,US,"Maine Office of GIS",2021,23,23011,Augusta,2302100,010400,1008,1,230110104001008,23011010400,"Augusta-Waterville, ME",12300,micropolitan,,,,
39.7137,-82.5993,Lancaster,OH,"Fairfield County",43130,39.713828,-82.59911,1,rooftop,108,"N High St",,,Lancaster,OH,"Fairfield County",43130,US,Fairfield,2021,39,39045,Lancaster,3941720,032200,3017,3,390450322003017,39045032200,"Columbus, OH",18140,metropolitan,"Columbus-Marion-Zanesville, OH",198,,
41.6608,-91.5304,"Iowa City",IA,"Johnson County",52240,41.660818,-91.530348,1,rooftop,11,"S Gilbert St",,,"Iowa City",IA,"Johnson County",52240,US,Johnson,2021,19,19103,"Iowa City",1938595,002100,1030,1,191030021001030,19103002100,"Iowa City, IA",26980,metropolitan,"Cedar Rapids-Iowa City, IA",168,,
34.5034,-82.6501,Anderson,SC,"Anderson County",29624,34.503252,-82.650123,1,rooftop,113,"S Main St",,,Anderson,SC,"Anderson County",29624,US,Anderson,2021,45,45007,Anderson,4501360,012300,1051,1,450070123001051,45007012300,"Greenville-Anderson, SC",24860,metropolitan,"Greenville-Spartanburg-Anderson, SC",273,,
38.627,-90.1913,"Saint Louis",MO,"St. Louis City",63101,38.627024,-90.191211,1,rooftop,101,"N 6th St",,,"Saint Louis",MO,"St. Louis City",63101,US,"City of St Louis",2021,29,29510,"St. Louis",2965000,125600,3039,3,295101256003039,29510125600,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
42.6389,-83.2911,Pontiac,MI,"Oakland County",48342,42.638636,-83.291513,0.99,rooftop,16,"E Huron St",,,Pontiac,MI,"Oakland County",48342,US,Oakland,2021,26,26125,Pontiac,2665440,142200,3006,3,261251422003006,26125142200,"Detroit-Warren-Dearborn, MI",19820,metropolitan,"Detroit-Warren-Ann Arbor, MI",220,"Warren-Troy-Farmington Hills, MI",47664
47.6776,-116.7804,"Coeur D Alene",ID,"Kootenai County",83814,47.677787,-116.780404,1,rooftop,411,"E Garden Ave",,,"Coeur D Alene",ID,"Kootenai County",83814,US,Kootenai,2021,16,16055,"Coeur d'Alene",1616750,001400,2019,2,160550014002019,16055001400,"Coeur d'Alene, ID",17660,metropolitan,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,
28.0836,-80.6081,Melbourne,FL,"Brevard County",32901,28.083707,-80.607763,0.99,rooftop,1511,"Waverly Pl",,,Melbourne,FL,"Brevard County",32901,US,Brevard,2021,12,12009,Melbourne,1243975,064800,1009,1,120090648001009,12009064800,"Palm Bay-Melbourne-Titusville, FL",37340,metropolitan,,,,
37.9748,-87.5559,Evansville,IN,"Vanderburgh County",47713,37.975194,-87.556163,0.99,rooftop,601,"E Sycamore St",,,Evansville,IN,"Vanderburgh County",47713,US,"City of Evansville",2021,18,18163,Evansville,1822000,001400,1013,1,181630014001013,18163001400,"Evansville, IN-KY",21780,metropolitan,,,,
42.3265,-122.8756,Medford,OR,"Jackson County",97501,42.326488,-122.875547,1,rooftop,111,"N Fir St",,,Medford,OR,"Jackson County",97501,US,Jackson,2021,41,41029,Medford,4147000,000100,2040,2,410290001002040,41029000100,"Medford, OR",32780,metropolitan,"Medford-Grants Pass, OR",366,,
36.154,-95.9928,Tulsa,OK,"Tulsa County",74103,36.154479,-95.993192,0.99,rooftop,136,"S Boulder Ave W",,,Tulsa,OK,"Tulsa County",74103,US,Tulsa,2021,40,40143,Tulsa,4075000,002500,1044,1,401430025001044,40143002500,"Tulsa, OK",46140,metropolitan,"Tulsa-Muskogee-Bartlesville, OK",538,,
48.0796,-123.1023,Sequim,WA,"Clallam County",98382,48.079401,-123.10204,1,rooftop,144,"S Sequim Ave",,,Sequim,WA,"Clallam County",98382,US,Clallam,2021,53,53009,Sequim,5363385,002100,1042,1,530090021001042,53009002100,"Port Angeles, WA",38820,micropolitan,,,,
40.4406,-79.9958,Pittsburgh,PA,"Allegheny County",15219,40.440724,-79.996301,0.99,rooftop,559,"Grant St",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny,2021,42,42003,Pittsburgh,4261000,020100,4010,4,420030201004010,42003020100,"Pittsburgh, PA",38300,metropolitan,"Pittsburgh-New Castle-Weirton, PA-OH-WV",430,,
42.6801,-83.1339,Rochester,MI,"Oakland County",48307,42.680058,-83.134087,1,rooftop,321,"S Main St",,,Rochester,MI,"Oakland County",48307,US,Semcog,2021,26,26125,Rochester,2669020,191000,2008,2,261251910002008,26125191000,"Detroit-Warren-Dearborn, MI",19820,metropolitan,"Detroit-Warren-Ann Arbor, MI",220,"Warren-Troy-Farmington Hills, MI",47664
33.4017,-86.9544,Bessemer,AL,"Jefferson County",35020,33.401877,-86.95455,1,rooftop,1800,"3rd Ave N",,,Bessemer,AL,"Jefferson County",35020,US,Jefferson,2021,01,01073,Bessemer,0105980,010200,2085,2,010730102002085,01073010200,"Birmingham-Hoover, AL",13820,metropolitan,"Birmingham-Hoover-Talladega, AL",142,,
41.7,-73.93,Poughkeepsie,NY,"Dutchess County",12601,41.699689,-73.930189,0.99,rooftop,54,"Montgomery St",,,Poughkeepsie,NY,"Dutchess County",12601,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36027,Poughkeepsie,3659641,220801,2003,2,360272208012003,36027220801,"Poughkeepsie-Newburgh-Middletown, NY",39100,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
34.5008,-117.1859,"Apple Valley",CA,"San Bernardino County",92308,34.500617,-117.185993,1,nearest_street,,"CA 18",,,"Apple Valley",CA,"San Bernardino County",92308,US,"TIGER/Line® dataset from the US Census Bureau",2021,06,06071,"Apple Valley",0602364,009713,5031,5,060710097135031,06071009713,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
35.601,-82.554,Asheville,NC,"Buncombe County",28801,35.600926,-82.553913,1,rooftop,44,"Merrimon Ave",,,Asheville,NC,"Buncombe County",28801,US,Buncombe,2021,37,37021,Asheville,3702140,000600,2022,2,370210006002022,37021000600,"Asheville, NC",11700,metropolitan,"Asheville-Marion-Brevard, NC",120,,
42.216,-79.8344,"North East",PA,"Erie County",16428,42.21589,-79.83435,1,rooftop,1,"E Main St",,,"North East",PA,"Erie County",16428,US,Erie,2021,42,42049,"North East",4254952,011600,3004,3,420490116003004,42049011600,"Erie, PA",21500,metropolitan,"Erie-Meadville, PA",240,,
44.9385,-123.0305,Salem,OR,"Marion County",97301,44.938453,-123.030382,1,rooftop,900,"Court St NE",,,Salem,OR,"Marion County",97301,US,"City of Salem",2021,41,41047,Salem,4164900,000200,3031,3,410470002003031,41047000200,"Salem, OR",41420,metropolitan,"Portland-Vancouver-Salem, OR-WA",440,,
37.7793,-122.4193,"San Francisco",CA,"San Francisco County",94103,37.779214,-122.419669,0.99,rooftop,400,"Van Ness Ave",,,"San Francisco",CA,"San Francisco County",94103,US,"San Francisco",2021,06,06075,"San Francisco",0667000,012405,3007,3,060750124053007,06075012405,"San Francisco-Oakland-Berkeley, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"San Francisco-San Mateo-Redwood City, CA",41884
34.5811,-118.1248,Palmdale,CA,"Los Angeles County",93550,34.581139,-118.124594,1,rooftop,305,"E Ave Q7",,,Palmdale,CA,"Los Angeles County",93550,US,"Los Angeles",2021,06,06037,Palmdale,0655156,910402,2008,2,060379104052008,06037910405,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
32.8321,-117.2749,"LA Jolla",CA,"San Diego County",92037,32.832011,-117.274855,1,rooftop,625,"Bonair Way",,,"LA Jolla",CA,"San Diego County",92037,US,Sandoval,2021,06,06073,"San Diego",0666000,008101,5001,5,060730081015001,06073008101,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,
47.0357,-122.9048,Olympia,WA,"Thurston County",98501,47.035818,-122.904833,1,rooftop,416,"Sid Snyder Ave SW",,,Olympia,WA,"Thurston County",98501,US,Thurston,2021,53,53067,Olympia,5351300,010100,3001,3,530670101003001,53067010100,"Olympia-Lacey-Tumwater, WA",36500,metropolitan,"Seattle-Tacoma, WA",500,,
38.9187,-77.2311,Vienna,VA,"Fairfax County",22182,38.918639,-77.231153,1,nearest_street,,"VA 7",,,Vienna,VA,"Fairfax County",22182,US,"TIGER/Line® dataset from the US Census Bureau",2021,51,51059,Tysons,5179950,480205,1017,1,510594802051017,51059480205,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
39.7444,-75.5516,Wilmington,DE,"New Castle County",19801,39.744552,-75.551536,1,rooftop,301,"W 8th St",,,Wilmington,DE,"New Castle County",19801,US,"New Castle",2021,10,10003,Wilmington,1077580,002800,1053,1,100030028001053,10003002800,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Wilmington, DE-MD-NJ",48864
42.3351,-83.0476,Detroit,MI,"Wayne County",48226,42.335204,-83.047664,1,rooftop,1401,"Broadway St",,,Detroit,MI,"Wayne County",48226,US,Semcog,2021,26,26163,Detroit,2622000,517200,1039,1,261635172001039,26163517200,"Detroit-Warren-Dearborn, MI",19820,metropolitan,"Detroit-Warren-Ann Arbor, MI",220,"Detroit-Dearborn-Livonia, MI",19804
30.8333,-83.2803,Valdosta,GA,"Lowndes County",31601,30.83335,-83.279798,0.99,rooftop,305,"N Patterson St",,,Valdosta,GA,"Lowndes County",31601,US,Lowndes,2021,13,13185,Valdosta,1378800,011302,1055,1,131850113021055,13185011302,"Valdosta, GA",46660,metropolitan,,,,
43.6156,-84.2472,Midland,MI,"Midland County",48640,43.615921,-84.247131,0.99,rooftop,201,"Jerome St",,,Midland,MI,"Midland County",48640,US,Midland,2021,26,26111,Midland,2653780,290100,3015,3,261112901003015,26111290100,"Midland, MI",33220,metropolitan,"Saginaw-Midland-Bay City, MI",474,,
26.3114,-98.1632,Edinburg,TX,"Hidalgo County",78541,26.311457,-98.164145,0.99,rooftop,403,"Pirul St",,,Edinburg,TX,"Hidalgo County",78541,US,"Hidalgo County",2021,48,48215,Edinburg,4822660,024001,1012,1,482150240011012,48215024001,"McAllen-Edinburg-Mission, TX",32580,metropolitan,"McAllen-Edinburg, TX",365,,
30.2747,-97.7405,Austin,TX,"Travis County",78704,30.275927,-97.740687,0.98,rooftop,1300,"Congress Ave",,,Austin,TX,"Travis County",78704,US,Capcog,2021,48,48453,Austin,4805000,000700,1068,1,484530007001068,48453000700,"Austin-Round Rock-Georgetown, TX",12420,metropolitan,,,,
39.5539,-104.9694,Littleton,CO,"Douglas County",80126,39.553716,-104.968869,0.99,rooftop,8928,"Wild Iris Run",,,Littleton,CO,"Douglas County",80126,US,Douglas,2021,08,08035,"Highlands Ranch",0836410,014108,2003,2,080350141082003,08035014108,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
43.6574,-70.2589,Portland,ME,"Cumberland County",04101,43.657311,-70.258768,1,rooftop,15,"Monument Sq",,,Portland,ME,"Cumberland County",04101,US,"Maine Office of GIS",2021,23,23005,Portland,2360545,000300,2001,2,230050003002001,23005000300,"Portland-South Portland, ME",38860,metropolitan,"Portland-Lewiston-South Portland, ME",438,,
40.5067,-111.4122,"Heber City",UT,"Wasatch County",84032,40.506455,-111.412062,1,rooftop,61,"E 100 S",,,"Heber City",UT,"Wasatch County",84032,US,"Utah AGRC (and individual UT counties)",2021,49,49051,Heber,4934200,960201,2004,2,490519602012004,49051960201,"Heber, UT",25720,micropolitan,"Salt Lake City-Provo-Orem, UT",482,,
43.7094,-98.0298,Mitchell,SD,"Davison County",57301,43.709487,-98.029967,1,rooftop,420,"W 1st Ave",,,Mitchell,SD,"Davison County",57301,US,"Statewide SD",2021,46,46035,Mitchell,4643100,962801,2038,2,460359628012038,46035962801,"Mitchell, SD",33580,micropolitan,,,,
35.9604,-83.9216,Knoxville,TN,"Knox County",37902,35.959806,-83.92183,0.96,nearest_street,804,"US Hwy 11",,,Knoxville,TN,"Knox County",37902,US,"TIGER/Line® dataset from the US Census Bureau",2021,47,47093,Knoxville,4740000,000100,1041,1,470930001001041,47093000100,"Knoxville, TN",28940,metropolitan,"Knoxville-Morristown-Sevierville, TN",315,,
39.1271,-84.5144,Cincinnati,OH,"Hamilton County",45219,39.127122,-84.514675,1,rooftop,2456,"Ohio Ave",,,Cincinnati,OH,"Hamilton County",45219,US,Hamilton,2021,39,39061,Cincinnati,3915000,002500,1007,1,390610025001007,39061002500,"Cincinnati, OH-KY-IN",17140,metropolitan,"Cincinnati-Wilmington-Maysville, OH-KY-IN",178,,
38.2542,-85.7594,Louisville,KY,"Jefferson County",40202,38.253863,-85.759401,0.99,rooftop,500,"W Jefferson St",,,Louisville,KY,"Jefferson County",40202,US,"Metro Louisville,  LOJIC partners",2021,21,21111,Louisville,2148000,004900,3051,3,211110049003051,21111004900,"Louisville/Jefferson County, KY-IN",31140,metropolitan,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",350,,
34.09,-118.3617,"West Hollywood",CA,"Los Angeles County",90046,34.090029,-118.362135,0.99,rooftop,1049,"N Fairfax Ave",,,"West Hollywood",CA,"Los Angeles County",90046,US,"Los Angeles",2021,06,06037,"West Hollywood",0684410,700200,6007,6,060377002006007,06037700200,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
43.5499,-96.7003,"Sioux Falls",SD,"Minnehaha County",57103,43.549896,-96.70049,1,rooftop,313,"N Chicago Ave",,,"Sioux Falls",SD,"Minnehaha County",57103,US,"City of Sioux Falls",2021,46,46099,"Sioux Falls",4659020,000401,2023,2,460990004012023,46099000401,"Sioux Falls, SD",43620,metropolitan,,,,
38.4784,-82.6379,Ashland,KY,"Boyd County",41101,38.478445,-82.638011,1,rooftop,224,"17th St",,,Ashland,KY,"Boyd County",41101,US,Boyd,2021,21,21019,Ashland,2102368,030200,2087,2,210190302002087,21019030200,"Huntington-Ashland, WV-KY-OH",26580,metropolitan,"Charleston-Huntington-Ashland, WV-OH-KY",170,,
34.3665,-89.5192,Oxford,MS,"Lafayette County",38655,34.366898,-89.519232,0.97,nearest_street,1088,"E Jackson Ave",,,Oxford,MS,"Lafayette County",38655,US,"TIGER/Line® dataset from the US Census Bureau",2021,28,28071,Oxford,2854840,950204,2000,2,280719502042000,28071950204,"Oxford, MS",37060,micropolitan,,,,
42.4393,-123.3307,"Grants Pass",OR,"Josephine County",97526,42.439353,-123.330325,1,rooftop,214,"4th St",,,"Grants Pass",OR,"Josephine County",97526,US,Josephine,2021,41,41033,"Grants Pass",4130550,360701,1002,1,410333607011002,41033360701,"Grants Pass, OR",24420,metropolitan,"Medford-Grants Pass, OR",366,,
36.166,-86.7842,Nashville,TN,"Davidson County",37203,36.166816,-86.785108,0.98,rooftop,436,"6th Ave N",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville",2021,47,47037,"Nashville-Davidson metropolitan government (balance)",4752006,019503,1004,1,470370195031004,47037019503,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,metropolitan,"Nashville-Davidson--Murfreesboro, TN",400,,
42.6528,-79.0062,Angola,NY,"Erie County",14006,42.652891,-79.006308,1,rooftop,1348,"Eden Evans Center Rd",,,Angola,NY,"Erie County",14006,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2021,36,36029,,,015402,2035,2,360290154022035,36029015402,"Buffalo-Cheektowaga, NY",15380,metropolitan,"Buffalo-Cheektowaga-Olean, NY",160,,
41.6284,-87.5979,Dolton,IL,"Cook County",60419,41.628286,-87.597504,0.99,rooftop,807,"California Ave",,,Dolton,IL,"Cook County",60419,US,Cook,2021,17,17031,Dolton,1720292,826402,3018,3,170318264023018,17031826402,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Evanston, IL",16984
41.0668,-73.4842,Darien,CT,"Fairfield County",06820,41.066779,-73.484051,1,rooftop,2,"Renshaw Rd",,,Darien,CT,"Fairfield County",06820,US,"Connecticut Geospatial Information Systems Council",2021,09,09001,Noroton,0953540,030400,1022,1,090010304001022,09001030400,"Bridgeport-Stamford-Norwalk, CT",14860,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
42.29,-85.5858,Kalamazoo,MI,"Kalamazoo County",49007,42.289753,-85.585978,0.97,nearest_street,300,"St John Pl",,,Kalamazoo,MI,"Kalamazoo County",49007,US,"TIGER/Line® dataset from the US Census Bureau",2021,26,26077,Kalamazoo,2642160,000201,3023,3,260770002013023,26077000201,"Kalamazoo-Portage, MI",28020,metropolitan,"Kalamazoo-Battle Creek-Portage, MI",310,,
21.3069,-157.8583,Honolulu,HI,"Honolulu County",96813,21.306799,-157.858762,0.99,rooftop,364,"S King St",,,Honolulu,HI,"Honolulu County",96813,US,Honolulu,2021,15,15003,"Urban Honolulu",1571550,003900,1001,1,150030039001001,15003003900,"Urban Honolulu, HI",46520,metropolitan,,,,
41.0808,-85.1391,"Fort Wayne",IN,"Allen County",46802,41.080606,-85.139161,1,rooftop,1,"E Main St",,,"Fort Wayne",IN,"Allen County",46802,US,Allen,2021,18,18003,"Fort Wayne",1825000,001300,1011,1,180030013001011,18003001300,"Fort Wayne, IN",23060,metropolitan,"Fort Wayne-Huntington-Auburn, IN",258,,
40.7834,-73.9663,"New York",NY,"New York County",10024,40.784867,-73.969856,0.95,rooftop,251,"Central Park W",,,"New York",NY,"New York County",10024,US,"City of New York",2021,36,36061,"New York",3651000,016900,1000,1,360610169001000,36061016900,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
34.0693,-118.3118,"Los Angeles",CA,"Los Angeles County",90004,34.06924,-118.31177,1,rooftop,265,"S St Andrews Pl",,,"Los Angeles",CA,"Los Angeles County",90004,US,"City of Los Angeles",2021,06,06037,"Los Angeles",0644000,211500,2009,2,060372115002009,06037211500,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
29.7603,-95.3644,Houston,TX,"Harris County",77002,29.760395,-95.364395,1,rooftop,603,"Milam St",,,Houston,TX,"Harris County",77002,US,"City of Houston",2021,48,48201,Houston,4835000,980700,1065,1,482019807001065,48201980700,"Houston-The Woodlands-Sugar Land, TX",26420,metropolitan,"Houston-The Woodlands, TX",288,,
32.7357,-97.1081,Arlington,TX,"Tarrant County",76010,32.736067,-97.107795,0.99,rooftop,101,"W Abram St",,,Arlington,TX,"Tarrant County",76010,US,"Statewide TX",2021,48,48439,Arlington,4804000,122300,1019,1,484391223001019,48439122300,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104
45.0275,-84.6748,Gaylord,MI,"Otsego County",49735,45.027367,-84.67387,0.96,nearest_street,100,"N Center Ave",,,Gaylord,MI,"Otsego County",49735,US,"TIGER/Line® dataset from the US Census Bureau",2021,26,26137,Gaylord,2631720,950300,3020,3,261379503003020,26137950300,,,,,,,
37.323,-122.0321,Cupertino,CA,"Santa Clara County",95014,37.32331,-122.03181,0.99,rooftop,10002,"DE Anza Blvd",,,Cupertino,CA,"Santa Clara County",95014,US,"Santa Clara",2021,06,06085,Cupertino,0617610,508101,2016,2,060855081012016,06085508101,"San Jose-Sunnyvale-Santa Clara, CA",41940,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
61.5809,-149.4415,Wasilla,AK,"Matanuska-Susitna Borough",99654,61.581139,-149.442179,0.99,rooftop,391,"E Parks Hwy",,,Wasilla,AK,"Matanuska-Susitna Borough",99654,US,"Matanuska Susitna Borough",2021,02,02170,Wasilla,0283080,000800,3036,3,021700008003036,02170000800,"Anchorage, AK",11260,metropolitan,,,,
41.7302,-71.5352,"West Warwick",RI,"Kent County",02893,41.72985,-71.53529,0.99,rooftop,56,"N Pleasant St",,,"West Warwick",RI,"Kent County",02893,US,"City of Cranston",2021,44,44003,,,020601,1000,1,440030206011000,44003020601,"Providence-Warwick, RI-MA",39300,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,,
36.1749,-115.13720000000001,"Las Vegas",NV,"Clark County",89101,36.175337,-115.137282,0.99,rooftop,601,"N Las Vegas Blvd",,,"Las Vegas",NV,"Clark County",89101,US,"Las Vegas",2021,32,32003,"Las Vegas",3240000,000401,1011,1,320030004011011,32003000401,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV",332,,
39.0438,-77.4874,Ashburn,VA,"Loudoun County",20147,39.043684,-77.487196,1,rooftop,20702,"Ashburn Rd",,,Ashburn,VA,"Loudoun County",20147,US,"Virginia Geographic Information Network (VGIN)",2021,51,51107,Ashburn,5103320,611006,2000,2,511076110062000,51107611006,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894
